"","Category","RGS","AC","PValue"
"70","Signaling: calcium",2,35,0.74193172355441
"100","Transcription factor: ZF",3,53,0.760596881922751
"73","Signaling: hedgehog-like",5,89,0.795238048343303
"98","Transcription factor: T box",1,21,0.797485574777895
"119","Transmembrane transport: potassium channel",7,121,0.799365283334254
"9","Cytoskeleton: unassigned",4,77,0.826873975131883
"41","Muscle function",3,62,0.841963095366457
"1","Cell cycle: unassigned",1,26,0.859104323801455
"19","Extracellular material: galectin",1,26,0.859104323801455
"17","Extracellular material: chondroitin sulfotransferase",1,27,0.868964518547854
"102","Transcription: chromatin structure",5,105,0.890478889452616
"124","Transmembrane transport: unassigned",2,51,0.89342672002261
"82","Signaling: WNT",1,30,0.894593245380339
"86","Stress response: heat",1,30,0.894593245380339
"103","Transmembrane protein: ER",1,35,0.926657843667667
"23","Globin",1,36,0.931789124781924
"94","Transcription factor: bHLH",1,36,0.931789124781924
"3","Cilia: IFT",1,38,0.940999401432957
"44","Non-coding RNA: linc",8,174,0.944332686279852
"63","Proteolysis proteasome: E3",34,590,0.948065369365127
"92","Trafficking: ER/Golgi",3,87,0.955536889419695
"93","Trafficking: vesicle targeting/fusion",2,67,0.958530633703561
"43","Neuronal function: synaptic function",10,244,0.985263772264305
"112","Transmembrane transport: extracellular ligand gated channel",1,59,0.987128796672884
"67","Ribosome: EIF",1,60,0.988028673189765
"35","Metabolism: nucleotide",3,111,0.988182500186686
"96","Transcription factor: homeodomain",2,97,0.993562649266362
"15","DNA: replication",1,69,0.993764174566007
"79","Signaling: small GTPase",5,183,0.997352976142555
"48","Nucleic acid: binding",7,229,0.997761371216375
"101","Transcription: chromatin modification",2,117,0.998217515534495
"74","Signaling: heteromeric G protein",4,170,0.998445022751581
"13","Development: somatic",2,122,0.998711808309212
"68","Ribosome: subunit",1,92,0.998821330429023
"18","Extracellular material: collagen",4,184,0.999299349324552
"39","mRNA functions: binding",1,103,0.999468443218274
"34","Metabolism: mitochondria",10,366,0.999936838334597
"40","mRNA functions: processing",2,296,0.999999989735758
"47","Non-coding RNA: snoRNA",1,344,0.999999999984949
"45","Non-coding RNA: ncRNA",13,7850,1
"104","Transmembrane protein: seven transmembrane receptor",11,1473,1
